"STATISTIC Label","Year","Type of Offence","UNIT","VALUE"
"Recorded crime incidents","2004","Driving/in charge of a vehicle under the influence of drugs","Number","76"
"Recorded crime incidents","2004","Endangerment with potential for serious harm/death","Number","75"
"Recorded crime incidents","2004","Abandoning a child, child neglect and cruelty","Number","191"
"Recorded crime incidents","2004","Unseaworthy/dangerous use of boat or ship","Number","0"
"Recorded crime incidents","2004","False alarm/interference with aircraft or air transport facilities","Number","19"
"Recorded crime incidents","2004","Endangering traffic offences","Number","123"
"Recorded crime incidents","2004","Kidnapping and related offences","Number","75"
"Recorded crime incidents","2004","False imprisonment","Number","63"
"Recorded crime incidents","2004","Abduction of person under 16 years of age","Number","12"
"Recorded crime incidents","2004","Human trafficking offences","Number","0"
"Recorded crime incidents","2004","Robbery, extortion and hijacking offences","Number","2716"
"Recorded crime incidents","2004","Robbery of an establishment or institution","Number","1076"
"Recorded crime incidents","2004","Robbery of cash or goods in transit","Number","61"
"Recorded crime incidents","2004","Robbery from the person","Number","1479"
"Recorded crime incidents","2004","Blackmail or extortion","Number","15"
"Recorded crime incidents","2004","Carjacking, hijacking/unlawful seizure of aircraft/vessel","Number","85"
"Recorded crime incidents","2004","Burglary and related offences","Number","24898"
"Recorded crime incidents","2004","Aggravated burglary","Number","282"
"Recorded crime incidents","2004","Burglary (not aggravated)","Number","24417"
"Recorded crime incidents","2004","Possession of an article (with intent to burgle, steal, demand)","Number","199"
"Recorded crime incidents","2004","Theft and related offences","Number","72190"
"Recorded crime incidents","2004","Theft/taking of vehicle and related offences","Number","14359"
"Recorded crime incidents","2004","Theft from person","Number","5709"
"Recorded crime incidents","2004","Theft from shop","Number","14881"
"Recorded crime incidents","2004","Other thefts, handling stolen property","Number","37241"
"Recorded crime incidents","2004","Fraud, deception and related offences","Number","3176"
"Recorded crime incidents","2004","Controlled drug offences","Number","9914"
"Recorded crime incidents","2004","Importation of drugs","Number","36"
"Recorded crime incidents","2004","Cultivation or manufacture of drugs","Number","39"
"Recorded crime incidents","2004","Possession of drugs for sale or supply","Number","2183"
"Recorded crime incidents","2004","Possession of drugs for personal use","Number","7196"
"Recorded crime incidents","2004","Other drug offences","Number","460"
"Recorded crime incidents","2004","Weapons and Explosives Offences","Number","2155"
"Recorded crime incidents","2004","Explosives, chemical weapons offences","Number","65"
"Recorded crime incidents","2004","Discharging a firearm","Number","291"
"Recorded crime incidents","2004","Possession of a firearm","Number","374"
"Recorded crime incidents","2004","Offensive weapons offences (n.e.c.)","Number","1424"
"Recorded crime incidents","2004","Fireworks offences","Number","1"
"Recorded crime incidents","2004","Damage to property and to the environment","Number","37037"
"Recorded crime incidents","2004","Arson","Number","1500"
"Recorded crime incidents","2004","Criminal damage (not arson)","Number","35431"
"Recorded crime incidents","2004","Litter offences","Number","106"
"Recorded crime incidents","2004","Public order and other social code offences","Number","47782"
"Recorded crime incidents","2004","Disorderly conduct","Number","38227"
"Recorded crime incidents","2004","Trespass offences","Number","1567"
"Recorded crime incidents","2004","Liquor licensing offences","Number","6688"
"Recorded crime incidents","2004","Prostitution offences","Number","219"
"Recorded crime incidents","2004","Regulated betting/money, collection/trading offences","Number","317"
"Recorded crime incidents","2004","Social code offences (n.e.c.)","Number","764"
"Recorded crime incidents","2004","Offences against government, justice procedures and organisation of crime","Number","6460"
"Recorded crime incidents","2004","Offences against government and its agents","Number","165"
"Recorded crime incidents","2004","Organisation of crime and conspiracy to commit crime","Number","16"
"Recorded crime incidents","2004","Perverting the course of justice","Number","263"
"Recorded crime incidents","2004","Offences while in custody, breach of court orders","Number","6016"
"Recorded crime incidents","2005","Homicide offences","Number","137"
"Recorded crime incidents","2005","Murder","Number","52"
"Recorded crime incidents","2005","Manslaughter","Number","17"
"Recorded crime incidents","2005","Infanticide","Number","0"
"Recorded crime incidents","2005","Dangerous driving leading to death","Number","68"
"Recorded crime incidents","2005","Sexual offences","Number","1568"
"Recorded crime incidents","2005","Rape of a male or female","Number","421"
"Recorded crime incidents","2005","Defilement of a boy or girl less than 17 years old","Number","114"
"Recorded crime incidents","2005","Sexual offence involving mentally impaired person","Number","12"
"Recorded crime incidents","2005","Aggravated sexual assault","Number","7"
"Recorded crime incidents","2005","Sexual assault (not aggravated)","Number","956"
"Recorded crime incidents","2005","Other sexual offences","Number","58"
"Recorded crime incidents","2005","Attempts/threats to murder, assaults, harassments and related offences","Number","13683"
"Recorded crime incidents","2005","Murder-attempt","Number","7"
"Recorded crime incidents","2005","Threat to kill or cause serious harm","Number","95"
"Recorded crime incidents","2005","Harassment and related offences","Number","1117"
"Recorded crime incidents","2005","Assault causing harm, poisoning","Number","3708"
"Recorded crime incidents","2005","Other assault","Number","8756"
"Recorded crime incidents","2005","Dangerous or negligent acts","Number","14705"
"Recorded crime incidents","2005","Dangerous driving causing serious bodily harm","Number","22"
"Recorded crime incidents","2005","Driving/in charge of a vehicle while over legal alcohol limit","Number","14064"
"Recorded crime incidents","2005","Driving/in charge of a vehicle under the influence of drugs","Number","106"
"Recorded crime incidents","2005","Endangerment with potential for serious harm/death","Number","80"
"Recorded crime incidents","2005","Abandoning a child, child neglect and cruelty","Number","264"
"Recorded crime incidents","2005","Unseaworthy/dangerous use of boat or ship","Number","0"
"Recorded crime incidents","2005","False alarm/interference with aircraft or air transport facilities","Number","18"
"Recorded crime incidents","2005","Endangering traffic offences","Number","151"
"Recorded crime incidents","2005","Kidnapping and related offences","Number","74"
"Recorded crime incidents","2005","False imprisonment","Number","58"
"Recorded crime incidents","2005","Abduction of person under 16 years of age","Number","16"
"Recorded crime incidents","2005","Human trafficking offences","Number","0"
"Recorded crime incidents","2005","Robbery, extortion and hijacking offences","Number","2423"
"Recorded crime incidents","2005","Robbery of an establishment or institution","Number","1152"
"Recorded crime incidents","2005","Robbery of cash or goods in transit","Number","44"
"Recorded crime incidents","2005","Robbery from the person","Number","1137"
"Recorded crime incidents","2005","Blackmail or extortion","Number","18"
"Recorded crime incidents","2005","Carjacking, hijacking/unlawful seizure of aircraft/vessel","Number","72"
"Recorded crime incidents","2005","Burglary and related offences","Number","26371"
"Recorded crime incidents","2005","Aggravated burglary","Number","274"
"Recorded crime incidents","2005","Burglary (not aggravated)","Number","25900"
"Recorded crime incidents","2005","Possession of an article (with intent to burgle, steal, demand)","Number","197"
"Recorded crime incidents","2005","Theft and related offences","Number","73041"
"Recorded crime incidents","2005","Theft/taking of vehicle and related offences","Number","14186"
"Recorded crime incidents","2005","Theft from person","Number","4610"
"Recorded crime incidents","2005","Theft from shop","Number","16463"
"Recorded crime incidents","2005","Other thefts, handling stolen property","Number","37782"
"Recorded crime incidents","2005","Fraud, deception and related offences","Number","3739"
"Recorded crime incidents","2005","Controlled drug offences","Number","13346"
"Recorded crime incidents","2005","Importation of drugs","Number","36"
"Recorded crime incidents","2005","Cultivation or manufacture of drugs","Number","50"
"Recorded crime incidents","2005","Possession of drugs for sale or supply","Number","2652"
"Recorded crime incidents","2005","Possession of drugs for personal use","Number","10067"
"Recorded crime incidents","2005","Other drug offences","Number","541"
"Recorded crime incidents","2005","Weapons and Explosives Offences","Number","2553"
"Recorded crime incidents","2005","Explosives, chemical weapons offences","Number","102"
"Recorded crime incidents","2005","Discharging a firearm","Number","311"
"Recorded crime incidents","2005","Possession of a firearm","Number","431"
"Recorded crime incidents","2005","Offensive weapons offences (n.e.c.)","Number","1706"
"Recorded crime incidents","2005","Fireworks offences","Number","3"
"Recorded crime incidents","2005","Damage to property and to the environment","Number","39715"
"Recorded crime incidents","2005","Arson","Number","1414"
"Recorded crime incidents","2005","Criminal damage (not arson)","Number","38173"
"Recorded crime incidents","2005","Litter offences","Number","128"
"Recorded crime incidents","2005","Public order and other social code offences","Number","55483"
"Recorded crime incidents","2005","Disorderly conduct","Number","42428"
"Recorded crime incidents","2005","Trespass offences","Number","1840"
"Recorded crime incidents","2005","Liquor licensing offences","Number","9684"
"Recorded crime incidents","2005","Prostitution offences","Number","85"
"Recorded crime incidents","2005","Regulated betting/money, collection/trading offences","Number","370"
"Recorded crime incidents","2005","Social code offences (n.e.c.)","Number","1076"
"Recorded crime incidents","2005","Offences against government, justice procedures and organisation of crime","Number","7787"
"Recorded crime incidents","2005","Offences against government and its agents","Number","147"
"Recorded crime incidents","2005","Organisation of crime and conspiracy to commit crime","Number","5"
"Recorded crime incidents","2005","Perverting the course of justice","Number","225"
"Recorded crime incidents","2005","Offences while in custody, breach of court orders","Number","7410"
"Recorded crime incidents","2006","Homicide offences","Number","144"
"Recorded crime incidents","2006","Murder","Number","59"
"Recorded crime incidents","2006","Manslaughter","Number","15"
"Recorded crime incidents","2006","Infanticide","Number","0"
"Recorded crime incidents","2006","Dangerous driving leading to death","Number","70"
"Recorded crime incidents","2006","Sexual offences","Number","1442"
"Recorded crime incidents","2006","Rape of a male or female","Number","365"
"Recorded crime incidents","2006","Defilement of a boy or girl less than 17 years old","Number","70"
"Recorded crime incidents","2006","Sexual offence involving mentally impaired person","Number","15"
"Recorded crime incidents","2006","Aggravated sexual assault","Number","16"
"Recorded crime incidents","2006","Sexual assault (not aggravated)","Number","917"
"Recorded crime incidents","2006","Other sexual offences","Number","59"
"Recorded crime incidents","2006","Attempts/threats to murder, assaults, harassments and related offences","Number","15557"
"Recorded crime incidents","2006","Murder-attempt","Number","8"
"Recorded crime incidents","2006","Threat to kill or cause serious harm","Number","97"
"Recorded crime incidents","2006","Harassment and related offences","Number","1669"
"Recorded crime incidents","2006","Assault causing harm, poisoning","Number","4004"
"Recorded crime incidents","2006","Other assault","Number","9779"
"Recorded crime incidents","2006","Dangerous or negligent acts","Number","19194"
"Recorded crime incidents","2006","Dangerous driving causing serious bodily harm","Number","24"
"Recorded crime incidents","2006","Driving/in charge of a vehicle while over legal alcohol limit","Number","18516"
"Recorded crime incidents","2006","Driving/in charge of a vehicle under the influence of drugs","Number","117"
"Recorded crime incidents","2006","Endangerment with potential for serious harm/death","Number","70"
"Recorded crime incidents","2006","Abandoning a child, child neglect and cruelty","Number","300"
"Recorded crime incidents","2006","Unseaworthy/dangerous use of boat or ship","Number","0"
"Recorded crime incidents","2006","False alarm/interference with aircraft or air transport facilities","Number","16"
"Recorded crime incidents","2006","Endangering traffic offences","Number","151"
"Recorded crime incidents","2006","Kidnapping and related offences","Number","82"
"Recorded crime incidents","2006","False imprisonment","Number","70"
"Recorded crime incidents","2006","Abduction of person under 16 years of age","Number","12"
"Recorded crime incidents","2006","Human trafficking offences","Number","0"
"Recorded crime incidents","2006","Robbery, extortion and hijacking offences","Number","2489"
"Recorded crime incidents","2006","Robbery of an establishment or institution","Number","1103"
"Recorded crime incidents","2006","Robbery of cash or goods in transit","Number","31"
"Recorded crime incidents","2006","Robbery from the person","Number","1254"
"Recorded crime incidents","2006","Blackmail or extortion","Number","11"
"Recorded crime incidents","2006","Carjacking, hijacking/unlawful seizure of aircraft/vessel","Number","90"
"Recorded crime incidents","2006","Burglary and related offences","Number","24823"
"Recorded crime incidents","2006","Aggravated burglary","Number","285"
"Recorded crime incidents","2006","Burglary (not aggravated)","Number","24304"
"Recorded crime incidents","2006","Possession of an article (with intent to burgle, steal, demand)","Number","234"
"Recorded crime incidents","2006","Theft and related offences","Number","74521"
"Recorded crime incidents","2006","Theft/taking of vehicle and related offences","Number","13658"
"Recorded crime incidents","2006","Theft from person","Number","3590"
"Recorded crime incidents","2006","Theft from shop","Number","18435"
"Recorded crime incidents","2006","Other thefts, handling stolen property","Number","38838"
"Recorded crime incidents","2006","Fraud, deception and related offences","Number","4337"
"Recorded crime incidents","2006","Controlled drug offences","Number","14229"
"Recorded crime incidents","2006","Importation of drugs","Number","43"
"Recorded crime incidents","2006","Cultivation or manufacture of drugs","Number","91"
"Recorded crime incidents","2006","Possession of drugs for sale or supply","Number","2999"
"Recorded crime incidents","2006","Possession of drugs for personal use","Number","10490"
"Recorded crime incidents","2006","Other drug offences","Number","606"
"Recorded crime incidents","2006","Weapons and Explosives Offences","Number","3123"
"Recorded crime incidents","2006","Explosives, chemical weapons offences","Number","166"
"Recorded crime incidents","2006","Discharging a firearm","Number","297"
"Recorded crime incidents","2006","Possession of a firearm","Number","419"
"Recorded crime incidents","2006","Offensive weapons offences (n.e.c.)","Number","2203"
"Recorded crime incidents","2006","Fireworks offences","Number","38"
"Recorded crime incidents","2006","Damage to property and to the environment","Number","43587"
"Recorded crime incidents","2006","Arson","Number","1660"
"Recorded crime incidents","2006","Criminal damage (not arson)","Number","41787"
"Recorded crime incidents","2006","Litter offences","Number","140"
"Recorded crime incidents","2006","Public order and other social code offences","Number","56599"
"Recorded crime incidents","2006","Disorderly conduct","Number","47248"
"Recorded crime incidents","2006","Trespass offences","Number","2363"
"Recorded crime incidents","2006","Liquor licensing offences","Number","5648"
"Recorded crime incidents","2006","Prostitution offences","Number","105"
"Recorded crime incidents","2006","Regulated betting/money, collection/trading offences","Number","417"
"Recorded crime incidents","2006","Social code offences (n.e.c.)","Number","818"
"Recorded crime incidents","2006","Offences against government, justice procedures and organisation of crime","Number","9482"
"Recorded crime incidents","2006","Offences against government and its agents","Number","238"
"Recorded crime incidents","2006","Organisation of crime and conspiracy to commit crime","Number","19"
"Recorded crime incidents","2006","Perverting the course of justice","Number","249"
"Recorded crime incidents","2006","Offences while in custody, breach of court orders","Number","8976"
"Recorded crime incidents","2007","Homicide offences","Number","153"
"Recorded crime incidents","2007","Murder","Number","78"
"Recorded crime incidents","2007","Manslaughter","Number","8"
"Recorded crime incidents","2007","Infanticide","Number","1"
"Recorded crime incidents","2007","Dangerous driving leading to death","Number","66"
"Recorded crime incidents","2007","Sexual offences","Number","1359"
"Recorded crime incidents","2007","Rape of a male or female","Number","355"
"Recorded crime incidents","2007","Defilement of a boy or girl less than 17 years old","Number","71"
"Recorded crime incidents","2007","Sexual offence involving mentally impaired person","Number","12"
"Recorded crime incidents","2007","Aggravated sexual assault","Number","17"
"Recorded crime incidents","2007","Sexual assault (not aggravated)","Number","812"
"Recorded crime incidents","2007","Other sexual offences","Number","92"
"Recorded crime incidents","2007","Attempts/threats to murder, assaults, harassments and related offences","Number","18141"
"Recorded crime incidents","2007","Murder-attempt","Number","4"
"Recorded crime incidents","2007","Threat to kill or cause serious harm","Number","164"
"Recorded crime incidents","2007","Harassment and related offences","Number","2541"
"Recorded crime incidents","2007","Assault causing harm, poisoning","Number","3912"
"Recorded crime incidents","2007","Other assault","Number","11520"
"Recorded crime incidents","2007","Dangerous or negligent acts","Number","20728"
"Recorded crime incidents","2007","Dangerous driving causing serious bodily harm","Number","26"
"Recorded crime incidents","2007","Driving/in charge of a vehicle while over legal alcohol limit","Number","19547"
"Recorded crime incidents","2007","Driving/in charge of a vehicle under the influence of drugs","Number","289"
"Recorded crime incidents","2007","Endangerment with potential for serious harm/death","Number","68"
"Recorded crime incidents","2007","Abandoning a child, child neglect and cruelty","Number","554"
"Recorded crime incidents","2007","Unseaworthy/dangerous use of boat or ship","Number","1"
"Recorded crime incidents","2007","False alarm/interference with aircraft or air transport facilities","Number","21"
"Recorded crime incidents","2007","Endangering traffic offences","Number","222"
"Recorded crime incidents","2007","Kidnapping and related offences","Number","108"
"Recorded crime incidents","2007","False imprisonment","Number","93"
"Recorded crime incidents","2007","Abduction of person under 16 years of age","Number","15"
"Recorded crime incidents","2007","Human trafficking offences","Number","0"
"Recorded crime incidents","2007","Robbery, extortion and hijacking offences","Number","2205"
"Recorded crime incidents","2007","Robbery of an establishment or institution","Number","816"
"Recorded crime incidents","2007","Robbery of cash or goods in transit","Number","20"
"Recorded crime incidents","2007","Robbery from the person","Number","1283"
"Recorded crime incidents","2007","Blackmail or extortion","Number","21"
"Recorded crime incidents","2007","Carjacking, hijacking/unlawful seizure of aircraft/vessel","Number","65"
"Recorded crime incidents","2007","Burglary and related offences","Number","24016"
"Recorded crime incidents","2007","Aggravated burglary","Number","260"
"Recorded crime incidents","2007","Burglary (not aggravated)","Number","23456"
"Recorded crime incidents","2007","Possession of an article (with intent to burgle, steal, demand)","Number","300"
"Recorded crime incidents","2007","Theft and related offences","Number","75123"
"Recorded crime incidents","2007","Theft/taking of vehicle and related offences","Number","13612"
"Recorded crime incidents","2007","Theft from person","Number","2908"
"Recorded crime incidents","2007","Theft from shop","Number","18766"
"Recorded crime incidents","2007","Other thefts, handling stolen property","Number","39837"
"Recorded crime incidents","2007","Fraud, deception and related offences","Number","6274"
"Recorded crime incidents","2007","Controlled drug offences","Number","18522"
"Recorded crime incidents","2007","Importation of drugs","Number","53"
"Recorded crime incidents","2007","Cultivation or manufacture of drugs","Number","162"
"Recorded crime incidents","2007","Possession of drugs for sale or supply","Number","3579"
"Recorded crime incidents","2007","Possession of drugs for personal use","Number","13994"
"Recorded crime incidents","2007","Other drug offences","Number","734"
"Recorded crime incidents","2007","Weapons and Explosives Offences","Number","3598"
"Recorded crime incidents","2007","Explosives, chemical weapons offences","Number","28"
"Recorded crime incidents","2007","Discharging a firearm","Number","331"
"Recorded crime incidents","2007","Possession of a firearm","Number","415"
"Recorded crime incidents","2007","Offensive weapons offences (n.e.c.)","Number","2574"
"Recorded crime incidents","2007","Fireworks offences","Number","250"
"Recorded crime incidents","2007","Damage to property and to the environment","Number","43276"
"Recorded crime incidents","2007","Arson","Number","2101"
"Recorded crime incidents","2007","Criminal damage (not arson)","Number","40960"
"Recorded crime incidents","2007","Litter offences","Number","215"
"Recorded crime incidents","2007","Public order and other social code offences","Number","60702"
"Recorded crime incidents","2007","Disorderly conduct","Number","51343"
"Recorded crime incidents","2007","Trespass offences","Number","3042"
"Recorded crime incidents","2007","Liquor licensing offences","Number","4917"
"Recorded crime incidents","2007","Prostitution offences","Number","110"
"Recorded crime incidents","2007","Regulated betting/money, collection/trading offences","Number","541"
"Recorded crime incidents","2007","Social code offences (n.e.c.)","Number","749"
"Recorded crime incidents","2007","Offences against government, justice procedures and organisation of crime","Number","10917"
"Recorded crime incidents","2007","Offences against government and its agents","Number","341"
"Recorded crime incidents","2007","Organisation of crime and conspiracy to commit crime","Number","10"
"Recorded crime incidents","2007","Perverting the course of justice","Number","192"
"Recorded crime incidents","2007","Offences while in custody, breach of court orders","Number","10374"
"Recorded crime incidents","2008","Homicide offences","Number","113"
"Recorded crime incidents","2008","Murder","Number","51"
"Recorded crime incidents","2008","Manslaughter","Number","14"
"Recorded crime incidents","2008","Infanticide","Number","0"
"Recorded crime incidents","2008","Dangerous driving leading to death","Number","48"
"Recorded crime incidents","2008","Sexual offences","Number","1270"
"Recorded crime incidents","2008","Rape of a male or female","Number","332"
"Recorded crime incidents","2008","Defilement of a boy or girl less than 17 years old","Number","79"
"Recorded crime incidents","2008","Sexual offence involving mentally impaired person","Number","7"
"Recorded crime incidents","2008","Aggravated sexual assault","Number","12"
"Recorded crime incidents","2008","Sexual assault (not aggravated)","Number","772"
"Recorded crime incidents","2008","Other sexual offences","Number","68"
"Recorded crime incidents","2008","Attempts/threats to murder, assaults, harassments and related offences","Number","19717"
"Recorded crime incidents","2008","Murder-attempt","Number","11"
"Recorded crime incidents","2008","Threat to kill or cause serious harm","Number","205"
"Recorded crime incidents","2008","Harassment and related offences","Number","3065"
"Recorded crime incidents","2008","Assault causing harm, poisoning","Number","3843"
"Recorded crime incidents","2008","Other assault","Number","12593"
"Recorded crime incidents","2008","Dangerous or negligent acts","Number","19223"
"Recorded crime incidents","2008","Dangerous driving causing serious bodily harm","Number","18"
"Recorded crime incidents","2008","Driving/in charge of a vehicle while over legal alcohol limit","Number","17558"
"Recorded crime incidents","2008","Driving/in charge of a vehicle under the influence of drugs","Number","754"
"Recorded crime incidents","2008","Endangerment with potential for serious harm/death","Number","51"
"Recorded crime incidents","2008","Abandoning a child, child neglect and cruelty","Number","544"
"Recorded crime incidents","2008","Unseaworthy/dangerous use of boat or ship","Number","2"
"Recorded crime incidents","2008","False alarm/interference with aircraft or air transport facilities","Number","41"
"Recorded crime incidents","2008","Endangering traffic offences","Number","255"
"Recorded crime incidents","2008","Kidnapping and related offences","Number","75"
"Recorded crime incidents","2008","False imprisonment","Number","58"
"Recorded crime incidents","2008","Abduction of person under 16 years of age","Number","13"
"Recorded crime incidents","2008","Human trafficking offences","Number","4"
"Recorded crime incidents","2008","Robbery, extortion and hijacking offences","Number","2329"
"Recorded crime incidents","2008","Robbery of an establishment or institution","Number","870"
"Recorded crime incidents","2008","Robbery of cash or goods in transit","Number","27"
"Recorded crime incidents","2008","Robbery from the person","Number","1293"
"Recorded crime incidents","2008","Blackmail or extortion","Number","22"
"Recorded crime incidents","2008","Carjacking, hijacking/unlawful seizure of aircraft/vessel","Number","117"
"Recorded crime incidents","2008","Burglary and related offences","Number","25282"
"Recorded crime incidents","2008","Aggravated burglary","Number","328"
"Recorded crime incidents","2008","Burglary (not aggravated)","Number","24531"
"Recorded crime incidents","2008","Possession of an article (with intent to burgle, steal, demand)","Number","423"
"Recorded crime incidents","2008","Theft and related offences","Number","76806"
"Recorded crime incidents","2008","Theft/taking of vehicle and related offences","Number","14458"
"Recorded crime incidents","2008","Theft from person","Number","3249"
"Recorded crime incidents","2008","Theft from shop","Number","20025"
"Recorded crime incidents","2008","Other thefts, handling stolen property","Number","39074"
"Recorded crime incidents","2008","Fraud, deception and related offences","Number","5745"
"Recorded crime incidents","2008","Controlled drug offences","Number","23352"
"Recorded crime incidents","2008","Importation of drugs","Number","67"
"Recorded crime incidents","2008","Cultivation or manufacture of drugs","Number","216"
"Recorded crime incidents","2008","Possession of drugs for sale or supply","Number","4263"
"Recorded crime incidents","2008","Possession of drugs for personal use","Number","18075"
